INSERT INTO rescue (id, rescue_name, description) VALUES
(1, 'Ngộ độc thực phẩm', 'Cứu hộ khi có người bị ngộ độc do ăn uống không an toàn.'),
(2, 'Tai nạn giao thông', 'Cứu hộ sau các vụ tai nạn giao thông, bao gồm cả xe máy, ô tô, và phương tiện công cộng.'),
(3, 'Hỏa hoạn', 'Cứu hộ trong tình huống có cháy nhà, cháy rừng, hoặc cháy do tai nạn.'),
(4, 'Ngập lụt', 'Cứu hộ khi có nguy cơ ngập lụt do mưa lớn hoặc lũ lụt.'),
(5, 'Ngộ độc khí độc', 'Cứu hộ khi có người bị ngộ độc do hít phải khí độc.'),
(6, 'Nhồi máu cơ tim', 'Cứu hộ trong trường hợp có người gặp vấn đề về tim.'),
(7, 'Cứu hộ dưới nước', 'Cứu hộ khi có người mắc kẹt hoặc gặp nạn dưới nước.'),
(8, 'Rơi từ độ cao', 'Cứu hộ sau khi có người rơi từ độ cao.'),
(9, 'Ngộ độc hóa chất', 'Cứu hộ khi có người bị ngộ độc do tiếp xúc với hóa chất.'),
(10, 'Hỏa hoạn tàu hỏa', 'Cứu hộ sau vụ hỏa hoạn trên tàu hỏa.'),
(11, 'Mất tích trong rừng', 'Cứu hộ khi có người bị mất tích trong rừng hoặc núi.'),
(12, 'Sự cố máy bay', 'Cứu hộ sau tai nạn hoặc sự cố của máy bay.'),
(13, 'Vỡ đập', 'Cứu hộ sau khi đập nước gặp sự cố và gây ra nguy hiểm.'),
(14, 'Độc tố nổ', 'Cứu hộ khi có nguy cơ phát nổ do độc tố.'),
(15, 'Trật bánh xe', 'Cứu hộ sau khi xe bị trật bánh trên đường.'),
(16, 'Sự cố thang máy', 'Cứu hộ khi có người mắc kẹt trong thang máy.'),
(17, 'Đánh bại bạo lực', 'Cứu hộ sau khi có người bị thương do bạo lực.'),
(18, 'Nhồi máu não', 'Cứu hộ trong trường hợp có người gặp vấn đề về não.'),
(19, 'Cơn động đất', 'Cứu hộ sau các trận động đất.'),
(20, 'Sự cố núi lửa', 'Cứu hộ khi có sự cố liên quan đến núi lửa.'),
(21, 'Vụ nổ khí ga', 'Cứu hộ khi có vụ nổ liên quan đến khí ga.'),
(22, 'Sự cố hóa học', 'Cứu hộ khi có sự cố liên quan đến hóa chất.'),
(23, 'Mắc kẹt trong thang máy', 'Cứu hộ khi có người mắc kẹt trong thang máy.'),
(24, 'Sự cố cầu cống', 'Cứu hộ khi có sự cố liên quan đến cầu cống.'),
(25, 'Nạn đói', 'Cứu hộ khi có nguy cơ nạn đói hoặc thiếu thốn thức ăn.'),
(26, 'Nguy cơ sạt lở đất', 'Cứu hộ khi có nguy cơ sạt lở đất.'),
(27, 'Người đuối nước', 'Cứu hộ khi có người đuối nước trong các hồ, sông, hoặc bể bơi.'),
(28, 'Sự cố điện', 'Cứu hộ khi có sự cố liên quan đến điện năng.'),
(29, 'Tòa nhà đổ sập', 'Cứu hộ khi có người mắc kẹt dưới các tòa nhà đổ sập.'),
(30, 'Nguy cơ nhiễm độc', 'Cứu hộ khi có nguy cơ nhiễm độc từ chất ô nhiễm.'),
(31, 'Cứu hộ hàng hải', 'Cứu hộ khi có sự cố liên quan đến hoạt động hàng hải.'),
(32, 'Nạn cướp biển', 'Cứu hộ khi có nguy cơ bị cướp biển hoặc tấn công trên biển.'),
(33, 'Vụ nổ hóa học', 'Cứu hộ khi có vụ nổ liên quan đến hóa chất.'),
(34, 'Nguy cơ sạt lở núi', 'Cứu hộ khi có nguy cơ sạt lở núi.'),
(35, 'Sự cố cảng biển', 'Cứu hộ khi có sự cố liên quan đến hoạt động cảng biển.'),
(36, 'Sự cố hồ chứa', 'Cứu hộ khi có sự cố liên quan đến hồ chứa nước.'),
(37, 'Nạn đói trẻ em', 'Cứu hộ khi có nguy cơ nạn đói đặc biệt đối với trẻ em.'),
(38, 'Cơn lốc xoáy', 'Cứu hộ khi có cơn lốc xoáy hoặc bão.'),
(39, 'Sự cố công nghệ', 'Cứu hộ khi có sự cố liên quan đến công nghệ và máy móc.'),
(40, 'Nạn nổ bom', 'Cứu hộ khi có nguy cơ nổ bom hoặc vụ nổ.'),
(41, 'Sự cố đập nước', 'Cứu hộ khi có sự cố liên quan đến đập nước.'),
(42, 'Nạn mất tích trẻ em', 'Cứu hộ khi có trẻ em mất tích.'),
(43, 'Cứu hộ dưới mặt đất', 'Cứu hộ khi có người mắc kẹt hoặc gặp sự cố dưới lòng đất.'),
(44, 'Sự cố môi trường', 'Cứu hộ khi có sự cố liên quan đến môi trường và sinh thái.'),
(45, 'Nạn buôn người', 'Cứu hộ khi có nguy cơ bị buôn người hoặc bị mua bán người.'),
(46, 'Sự cố động vật hoang dã', 'Cứu hộ khi có sự cố liên quan đến động vật hoang dã.'),
(47, 'Nạn đói hàng loạt', 'Cứu hộ khi có nguy cơ nạn đói ảnh hưởng hàng loạt.'),
(48, 'Sự cố phong tỏa', 'Cứu hộ khi có sự cố phong tỏa khu vực.'),
(49, 'Nạn cướp hải tặc', 'Cứu hộ khi có nguy cơ bị cướp hải tặc trên biển.'),
(50, 'Sự cố nhiễm trùng', 'Cứu hộ khi có nguy cơ lây nhiễm bệnh nhiễm trùng.'),
(51, 'Nạn tội phạm xuyên quốc gia', 'Cứu hộ khi có nguy cơ bị tội phạm hoạt động xuyên quốc gia.'),
(52, 'Sự cố mất điện', 'Cứu hộ khi có sự cố mất điện hàng loạt.'),
(53, 'Nạn nổ khí đốt', 'Cứu hộ khi có nguy cơ nổ do khí đốt hoặc gas.'),
(54, 'Sự cố cháy nổ', 'Cứu hộ khi có sự cố liên quan đến cháy nổ.'),
(55, 'Nạn mất tích hàng loạt', 'Cứu hộ khi có nguy cơ mất tích hàng loạt.'),
(56, 'Sự cố thiên tai', 'Cứu hộ khi có sự cố liên quan đến thiên tai.'),
(57, 'Sự cố hồ chứa nước', 'Cứu hộ khi có sự cố liên quan đến hồ chứa nước.'),
(58, 'Nạn khủng bố', 'Cứu hộ khi có nguy cơ bị tấn công khủng bố.'),
(59, 'Sự cố tấn công mạng', 'Cứu hộ khi có sự cố tấn công mạng.'),
(60, 'Sự cố hỏa họa', 'Cứu hộ khi có sự cố liên quan đến hỏa họa.'),
(61, 'Trường hợp khác', 'Các trường hợp hi hữu khác');
